statefips,countyfips,state,county,pop10,pop11,pop12,pop13,pop14,pop15
48,001,Texas,Anderson County,58485,58355,58010,57889,57742,57580
48,003,Texas,Andrews County,14835,15393,16121,16800,17457,18105
48,005,Texas,Angelina County,86917,87325,87623,87661,87875,88255
48,007,Texas,Aransas County,23200,23325,23688,24162,24933,25350
48,009,Texas,Archer County,9108,8836,8781,8754,8808,8715
48,011,Texas,Armstrong County,1899,1931,1945,1957,1948,1947
48,013,Texas,Atascosa County,44964,45473,46452,47077,47812,48435
48,015,Texas,Austin County,28379,28598,28560,28713,28994,29563
48,017,Texas,Bailey County,7154,7192,7136,7130,6960,7210
48,019,Texas,Bandera County,20551,20556,20616,20621,20916,21269
48,021,Texas,Bastrop County,74329,75147,74886,76032,78148,80527
48,023,Texas,Baylor County,3717,3711,3616,3607,3586,3618
48,025,Texas,Bee County,31886,32309,32440,32759,32911,32874
48,027,Texas,Bell County,312978,316120,323096,326654,329394,334941
48,029,Texas,Bexar County,1722989,1755901,1789834,1823749,1860274,1897753
48,031,Texas,Blanco County,10503,10558,10622,10635,10798,11004
48,033,Texas,Borden County,643,628,613,638,654,648
48,035,Texas,Bosque County,18258,18248,18114,17870,17734,17891
48,037,Texas,Bowie County,92675,92684,93006,93400,93298,93389
48,039,Texas,Brazoria County,314498,319375,324503,330340,338176,346312
48,041,Texas,Brazos County,195686,197505,200327,204286,209201,215037
48,043,Texas,Brewster County,9271,9354,9247,9281,9148,9145
48,045,Texas,Briscoe County,1631,1647,1564,1545,1535,1505
48,047,Texas,Brooks County,7199,7215,7184,7236,7242,7230
48,049,Texas,Brown County,38117,38016,37865,37764,37625,37896
48,051,Texas,Burleson County,17216,17244,17326,17166,17270,17460
48,053,Texas,Burnet County,42763,43347,43588,43882,44441,45463
48,055,Texas,Caldwell County,38104,38464,38711,39243,39797,40522
48,057,Texas,Calhoun County,21327,21349,21559,21734,21791,21895
48,059,Texas,Callahan County,13518,13535,13519,13528,13520,13557
48,061,Texas,Cameron County,407626,413130,415977,418071,420400,422156
48,063,Texas,Camp County,12412,12409,12461,12413,12617,12682
48,065,Texas,Carson County,6164,6271,6110,5981,6007,5969
48,067,Texas,Cass County,30430,30499,30184,30369,30274,30313
48,069,Texas,Castro County,8110,8056,8194,8027,7805,7656
48,071,Texas,Chambers County,35422,35614,36406,37240,38132,38863
48,073,Texas,Cherokee County,50915,51020,51218,51005,51052,51542
48,075,Texas,Childress County,7063,7010,7083,7048,7065,7088
48,077,Texas,Clay County,10732,10683,10517,10452,10381,10360
48,079,Texas,Cochran County,3137,3070,3020,2998,2923,2953
48,081,Texas,Coke County,3319,3282,3221,3206,3242,3238
48,083,Texas,Coleman County,8878,8738,8667,8526,8413,8338
48,085,Texas,Collin County,788629,814698,837480,858717,886052,914127
48,087,Texas,Collingsworth County,3055,3098,3027,3098,3024,3044
48,089,Texas,Colorado County,20884,20807,20692,20739,20675,20870
48,091,Texas,Comal County,109299,112059,114931,118682,123439,129048
48,093,Texas,Comanche County,13963,13881,13727,13574,13502,13430
48,095,Texas,Concho County,4098,4140,4065,4098,4045,4081
48,097,Texas,Cooke County,38456,38403,38790,38553,38828,39229
48,099,Texas,Coryell County,75604,76610,76860,76162,75507,75503
48,101,Texas,Cottle County,1506,1509,1485,1449,1427,1426
48,103,Texas,Crane County,4380,4365,4564,4746,4927,5048
48,105,Texas,Crockett County,3709,3673,3711,3752,3781,3710
48,107,Texas,Crosby County,6045,6085,6096,5988,5888,5977
48,109,Texas,Culberson County,2399,2378,2307,2292,2266,2236
48,111,Texas,Dallam County,6744,6834,6983,7025,7108,7121
48,113,Texas,Dallas County,2373464,2409778,2456444,2485781,2519625,2553385
48,115,Texas,Dawson County,13835,13788,13648,13250,13505,13520
48,117,Texas,Deaf Smith County,19446,19486,19373,19213,19201,18952
48,119,Texas,Delta County,5238,5198,5298,5186,5218,5217
48,121,Texas,Denton County,666962,685861,708300,729690,754792,780612
48,123,Texas,DeWitt County,20058,20302,20455,20480,20668,20797
48,125,Texas,Dickens County,2445,2398,2314,2282,2205,2206
48,127,Texas,Dimmit County,10036,10096,10471,10868,10995,10980
48,129,Texas,Donley County,3731,3685,3657,3576,3522,3499
48,131,Texas,Duval County,11721,11793,11582,11605,11519,11388
48,133,Texas,Eastland County,18589,18580,18410,18250,18230,18171
48,135,Texas,Ector County,137078,139733,144552,149666,154399,159436
48,137,Texas,Edwards County,1997,1971,1972,1876,1879,1894
48,139,Texas,Ellis County,150376,152406,153779,156110,159365,163632
48,141,Texas,El Paso County,803638,820015,831864,832457,835545,835593
48,143,Texas,Erath County,37887,38987,39470,39999,40617,41122
48,145,Texas,Falls County,17882,17869,17605,17260,17176,17142
48,147,Texas,Fannin County,33912,33925,33692,33653,33776,33693
48,149,Texas,Fayette County,24528,24747,24725,24794,24870,25110
48,151,Texas,Fisher County,3954,3955,3837,3842,3828,3827
48,153,Texas,Floyd County,6405,6384,6365,6266,5972,5901
48,155,Texas,Foard County,1338,1354,1308,1272,1268,1220
48,157,Texas,Fort Bend County,590581,607482,626808,654626,686650,716087
48,159,Texas,Franklin County,10600,10535,10626,10591,10593,10651
48,161,Texas,Freestone County,19810,19599,19439,19556,19647,19691
48,163,Texas,Frio County,17246,17468,17836,18168,18577,18793
48,165,Texas,Gaines County,17570,18021,18381,18846,19279,20051
48,167,Texas,Galveston County,292538,295611,301395,307303,314283,322225
48,169,Texas,Garza County,6468,6577,6456,6411,6445,6415
48,171,Texas,Gillespie County,24876,25029,25159,25330,25509,25963
48,173,Texas,Glasscock County,1231,1233,1258,1243,1291,1315
48,175,Texas,Goliad County,7223,7208,7338,7464,7507,7531
48,177,Texas,Gonzales County,19795,19763,19936,20174,20413,20573
48,179,Texas,Gray County,22459,22575,22818,22895,23419,23210
48,181,Texas,Grayson County,121042,121249,121601,122165,123419,125467
48,183,Texas,Gregg County,122015,122482,122942,123197,123159,124108
48,185,Texas,Grimes County,26614,26694,26705,26824,27069,27512
48,187,Texas,Guadalupe County,132560,135857,139733,143189,147272,151249
48,189,Texas,Hale County,36346,36426,36329,35802,34602,34360
48,191,Texas,Hall County,3352,3310,3278,3186,3105,3138
48,193,Texas,Hamilton County,8488,8415,8294,8270,8190,8159
48,195,Texas,Hansford County,5602,5581,5523,5546,5537,5610
48,197,Texas,Hardeman County,4156,4122,4055,4011,3934,3840
48,199,Texas,Hardin County,54811,55027,55102,55340,55540,55865
48,201,Texas,Harris County,4108187,4181238,4262504,4352462,4447577,4538028
48,203,Texas,Harrison County,65704,66352,66300,66214,66471,66746
48,205,Texas,Hartley County,6055,6081,6153,6061,6119,6193
48,207,Texas,Haskell County,5880,5978,5894,5890,5767,5737
48,209,Texas,Hays County,158275,163291,168571,176114,185096,194739
48,211,Texas,Hemphill County,3797,3957,4069,4121,4163,4264
48,213,Texas,Henderson County,78656,78688,78953,78635,79259,79545
48,215,Texas,Hidalgo County,779143,795272,807776,819173,831561,842304
48,217,Texas,Hill County,35129,35171,35086,34774,34731,34855
48,219,Texas,Hockley County,22858,22974,23120,23486,23599,23433
48,221,Texas,Hood County,51282,51489,52149,52889,53904,55423
48,223,Texas,Hopkins County,35202,35314,35398,35431,35857,36223
48,225,Texas,Houston County,23693,23361,23134,22735,22731,22785
48,227,Texas,Howard County,35009,35009,35523,36238,36551,37206
48,229,Texas,Hudspeth County,3464,3411,3337,3312,3211,3379
48,231,Texas,Hunt County,86337,86768,87266,87562,88822,89844
48,233,Texas,Hutchinson County,22204,21973,21954,21812,21815,21734
48,235,Texas,Irion County,1609,1605,1574,1600,1568,1554
48,237,Texas,Jack County,9014,9045,9007,8921,8880,8878
48,239,Texas,Jackson County,14077,14021,14253,14611,14729,14816
48,241,Texas,Jasper County,35799,36236,35846,35668,35583,35506
48,243,Texas,Jeff Davis County,2345,2299,2301,2221,2185,2156
48,245,Texas,Jefferson County,252451,253346,251394,252874,252439,254308
48,247,Texas,Jim Hogg County,5286,5275,5256,5221,5245,5200
48,249,Texas,Jim Wells County,40892,41205,41660,41682,41378,41382
48,251,Texas,Johnson County,151259,151955,153394,154699,157213,159990
48,253,Texas,Jones County,20223,20240,19858,20005,19816,19970
48,255,Texas,Karnes County,14861,14963,14878,14724,14857,14975
48,257,Texas,Kaufman County,103882,105293,106675,108490,111295,114690
48,259,Texas,Kendall County,33645,34511,35732,37419,38761,40384
48,261,Texas,Kenedy County,418,440,441,426,412,407
48,263,Texas,Kent County,809,819,834,796,783,764
48,265,Texas,Kerr County,49648,49627,49771,49879,50512,50955
48,267,Texas,Kimble County,4589,4598,4540,4468,4435,4388
48,269,Texas,King County,288,258,270,272,262,282
48,271,Texas,Kinney County,3595,3606,3620,3603,3505,3549
48,273,Texas,Kleberg County,32058,32057,32129,32101,31999,31857
48,275,Texas,Knox County,3723,3740,3761,3771,3850,3860
48,277,Texas,Lamar County,49812,49940,49770,49223,49457,49440
48,279,Texas,Lamb County,14000,14093,13916,13730,13585,13385
48,281,Texas,Lampasas County,19755,19944,20117,20205,20242,20588
48,283,Texas,La Salle County,6901,6995,7133,7421,7473,7631
48,285,Texas,Lavaca County,19241,19222,19451,19543,19692,19836
48,287,Texas,Lee County,16604,16603,16548,16592,16677,16898
48,289,Texas,Leon County,16745,16830,16738,16652,16791,17086
48,291,Texas,Liberty County,75857,76074,76471,77032,78200,79654
48,293,Texas,Limestone County,23467,23550,23623,23354,23421,23320
48,295,Texas,Lipscomb County,3284,3349,3441,3492,3565,3569
48,297,Texas,Live Oak County,11547,11525,11678,11850,12081,12229
48,299,Texas,Llano County,19343,18944,19086,19348,19440,19796
48,301,Texas,Loving County,83,95,81,103,87,112
48,303,Texas,Lubbock County,280256,283420,286098,289899,295039,299453
48,305,Texas,Lynn County,5902,5879,5773,5693,5753,5724
48,307,Texas,McCulloch County,8226,8278,8281,8267,8200,8341
48,309,Texas,McLennan County,235939,237827,239416,241524,243088,245671
48,311,Texas,McMullen County,712,702,736,766,804,820
48,313,Texas,Madison County,13742,13736,13726,13812,13852,14065
48,315,Texas,Marion County,10497,10434,10308,10225,10114,10160
48,317,Texas,Martin County,4816,4905,4993,5269,5450,5641
48,319,Texas,Mason County,4015,4032,4048,4145,4073,4032
48,321,Texas,Matagorda County,36705,36699,36554,36500,36469,36770
48,323,Texas,Maverick County,54487,55347,55853,56644,57188,57706
48,325,Texas,Medina County,46132,46517,46830,47319,47876,48417
48,327,Texas,Menard County,2236,2223,2225,2149,2150,2164
48,329,Texas,Midland County,136990,140139,147185,152057,155990,161077
48,331,Texas,Milam County,24687,24636,24143,24174,24254,24513
48,333,Texas,Mills County,4950,4868,4835,4884,4886,4900
48,335,Texas,Mitchell County,9417,9390,9317,8992,9081,9067
48,337,Texas,Montague County,19713,19734,19527,19438,19428,19262
48,339,Texas,Montgomery County,459336,471737,485004,499574,519054,537559
48,341,Texas,Moore County,22001,22114,22449,22293,22293,22255
48,343,Texas,Morris County,12915,12809,12740,12743,12691,12516
48,345,Texas,Motley County,1210,1216,1200,1195,1153,1148
48,347,Texas,Nacogdoches County,64667,65652,65863,65198,65271,65664
48,349,Texas,Navarro County,47852,48085,48087,48060,48034,48323
48,351,Texas,Newton County,14429,14492,14323,14209,14146,13986
48,353,Texas,Nolan County,15246,15128,14891,15074,15105,15107
48,355,Texas,Nueces County,340314,343217,347926,352950,356494,359715
48,357,Texas,Ochiltree County,10173,10435,10611,10699,10720,10747
48,359,Texas,Oldham County,2050,2075,2047,2091,2072,2069
48,361,Texas,Orange County,82010,82339,82959,83010,83519,84260
48,363,Texas,Palo Pinto County,28060,28084,27820,27832,27976,27895
48,365,Texas,Panola County,23785,24035,24014,23846,23839,23766
48,367,Texas,Parker County,117328,118526,119790,120169,122565,126042
48,369,Texas,Parmer County,10274,10292,10153,9946,9881,9749
48,371,Texas,Pecos County,15529,15633,15586,15706,15907,16203
48,373,Texas,Polk County,45477,45688,45802,45913,46192,46972
48,375,Texas,Potter County,121415,122421,122894,122367,122276,121802
48,377,Texas,Presidio County,7876,7752,7564,7286,7040,6876
48,379,Texas,Rains County,10930,11025,10943,11028,11029,11161
48,381,Texas,Randall County,121197,123371,124919,126665,128684,130269
48,383,Texas,Reagan County,3348,3385,3466,3601,3746,3792
48,385,Texas,Real County,3320,3424,3368,3321,3359,3307
48,387,Texas,Red River County,12854,12697,12714,12496,12472,12455
48,389,Texas,Reeves County,13816,13774,13911,14089,14391,14732
48,391,Texas,Refugio County,7360,7309,7236,7247,7302,7289
48,393,Texas,Roberts County,925,933,951,921,921,916
48,395,Texas,Robertson County,16571,16669,16455,16428,16448,16659
48,397,Texas,Rockwall County,78960,81100,82928,85154,87635,90861
48,399,Texas,Runnels County,10505,10560,10421,10286,10406,10551
48,401,Texas,Rusk County,53338,53692,53835,53420,53270,53070
48,403,Texas,Sabine County,10865,10679,10464,10348,10339,10368
48,405,Texas,San Augustine County,8846,8854,8840,8724,8584,8473
48,407,Texas,San Jacinto County,26445,26818,27003,26786,27096,27413
48,409,Texas,San Patricio County,64483,64476,65344,66250,66924,67357
48,411,Texas,San Saba County,6133,6041,5983,5712,5830,5901
48,413,Texas,Schleicher County,3500,3302,3252,3198,3159,3211
48,415,Texas,Scurry County,16940,16878,17094,17246,17356,17615
48,417,Texas,Shackelford County,3368,3342,3370,3373,3323,3350
48,419,Texas,Shelby County,25436,25719,26029,25896,25581,25402
48,421,Texas,Sherman County,3027,3032,3064,3083,3077,3072
48,423,Texas,Smith County,210470,212832,215088,216854,220050,222936
48,425,Texas,Somervell County,8499,8444,8586,8607,8665,8739
48,427,Texas,Starr County,61172,61763,62023,62509,63149,63795
48,429,Texas,Stephens County,9607,9518,9579,9349,9375,9440
48,431,Texas,Sterling County,1138,1169,1189,1232,1352,1352
48,433,Texas,Stonewall County,1495,1478,1468,1429,1397,1410
48,435,Texas,Sutton County,4060,4013,3931,4001,3971,3913
48,437,Texas,Swisher County,7891,7823,7878,7747,7584,7533
48,439,Texas,Tarrant County,1816528,1848011,1882338,1913437,1946346,1982498
48,441,Texas,Taylor County,131868,132864,134201,134016,135044,136051
48,443,Texas,Terrell County,1009,949,914,883,893,837
48,445,Texas,Terry County,12663,12647,12598,12679,12773,12739
48,447,Texas,Throckmorton County,1632,1640,1605,1606,1614,1579
48,449,Texas,Titus County,32401,32434,32631,32590,32487,32623
48,451,Texas,Tom Green County,110676,111837,113493,114963,116881,118105
48,453,Texas,Travis County,1030431,1062041,1096661,1121968,1150996,1176558
48,455,Texas,Trinity County,14710,14654,14319,14409,14241,14402
48,457,Texas,Tyler County,21760,21672,21450,21450,21389,21347
48,459,Texas,Upshur County,39379,39760,39945,39808,40366,40603
48,461,Texas,Upton County,3343,3286,3259,3365,3465,3651
48,463,Texas,Uvalde County,26447,26584,26775,26944,27214,27245
48,465,Texas,Val Verde County,49011,49000,48939,49056,48916,48988
48,467,Texas,Van Zandt County,52623,52592,52303,52398,52839,53547
48,469,Texas,Victoria County,86860,87468,89291,90138,91217,92382
48,471,Texas,Walker County,68213,68316,68497,69341,69798,70699
48,473,Texas,Waller County,43455,44023,44337,45420,46798,48656
48,475,Texas,Ward County,10604,10686,10865,11238,11613,11721
48,477,Texas,Washington County,33726,33962,33880,34160,34413,34765
48,479,Texas,Webb County,251337,255639,260015,263861,267018,269721
48,481,Texas,Wharton County,41312,41248,41151,41239,41197,41486
48,483,Texas,Wheeler County,5396,5453,5589,5715,5678,5657
48,485,Texas,Wichita County,131809,130859,131787,132480,132955,131705
48,487,Texas,Wilbarger County,13502,13426,13254,13137,12944,13027
48,489,Texas,Willacy County,22201,22119,22120,21953,21917,21903
48,491,Texas,Williamson County,426488,442466,456469,471082,489428,508514
48,493,Texas,Wilson County,43075,43705,44450,45429,46440,47520
48,495,Texas,Winkler County,7080,7139,7336,7601,7798,8005
48,497,Texas,Wise County,59108,59969,60430,61048,61813,62953
48,499,Texas,Wood County,42007,42157,42511,42553,42985,43356
48,501,Texas,Yoakum County,7845,7986,8038,8168,8326,8546
48,503,Texas,Young County,18543,18356,18299,18378,18340,18270
48,505,Texas,Zapata County,14075,14210,14250,14373,14333,14374
48,507,Texas,Zavala County,11711,11822,11943,12128,12170,12235
